1D360800|0000085F|000005F2|\evt\jp\s073500.txt
0090A800|005E4BA2|0000061B|\snd\adx\evt\s000100.adx
018C8800|00139FC6|00000625|\snd\adx\evt\s000500.adx
01D19000|002BFBCA|0000062F|\snd\adx\evt\s000700.adx
02A4A800|0076A446|0000063B|\snd\adx\evt\s010100.adx
03A57000|0050F5D2|00000645|\snd\adx\evt\s010200.adx
044D3000|0023B22E|00000652|\snd\adx\evt\s020010.adx
04873800|00099886|0000065D|\snd\adx\evt\s020350.adx
05A23000|010B44C2|00000669|\snd\adx\evt\s021200.adx
07CB9800|003EAD8A|00000673|\snd\adx\evt\s021500.adx
08899800|00659F92|0000067D|\snd\adx\evt\s021800.adx
09560000|00263EAE|00000687|\snd\adx\evt\s021900.adx
09B59800|0037CDE6|00000692|\snd\adx\evt\s022300.adx
0A5FB000|00457E46|0000069D|\snd\adx\evt\s025100.adx
0B589800|0088685E|000006A7|\snd\adx\evt\s025300.adx
0C0CD000|000A5C8E|000006B1|\snd\adx\evt\s025800.adx
0C2F8000|000988C6|000006BC|\snd\adx\evt\s025910.adx
0CD97800|0096A3AE|000006C9|\snd\adx\evt\s030600.adx
0E0C2000|0088D776|000006D3|\snd\adx\evt\s030700.adx
0F35D800|004749B2|000006DE|\snd\adx\evt\s031200.adx
0FB29800|0035A65E|000006EB|\snd\adx\evt\s040110.adx
10330800|002B9426|000006F6|\snd\adx\evt\s041710.adx
10E01800|009F6A06|00000703|\snd\adx\evt\s060100.adx
119C4000|001004DA|0000070E|\snd\adx\evt\s060720.adx
11FEF000|00222316|00000719|\snd\adx\evt\s061420.adx
12927800|00423AF6|00000724|\snd\adx\evt\s061600.adx
13683000|00516CEE|0000072E|\snd\adx\evt\s061700.adx
1418F000|0057A5EE|00000738|\snd\adx\evt\s061900.adx
14AB1000|001A9242|00000744|\snd\adx\evt\s070500.adx
14EBC000|001A43A6|0000074F|\snd\adx\evt\s070710.adx
154F8000|00171766|0000075B|\snd\adx\evt\s071400.adx
15AC6000|0014792E|00000765|\snd\adx\evt\s071500.adx
16753800|007A073A|00000770|\snd\adx\evt\s071610.adx
1732E800|00121ACE|0000077A|\snd\adx\evt\s071620.adx
180DF800|00444586|00000785|\snd\adx\evt\s071800.adx
1898E000|000E9C02|00000790|\snd\adx\evt\s072000.adx
19AA4000|010D01B2|0000079A|\snd\adx\evt\s072100.adx
1B3AB000|006A733E|000007A4|\snd\adx\evt\s072600.adx
1C230000|0016A386|000007AE|\snd\adx\evt\s072800.adx
1C39A800|003F2E36|000007B8|\snd\adx\evt\s072900.adx
1CF21000|002B1986|000007C3|\snd\adx\evt\s073100.adx
1D920800|00512122|000007CD|\snd\adx\evt\s073500.adx
1DE33000|00009E92|000007EE|\snd\adx\mev\s000200_01vir.adx
1DE3D000|0000DCF0|000007F8|\snd\adx\mev\s000200_02vir.adx
1DE4B000|0000D120|0000080C|\snd\adx\mev\s000200_03_1vir.adx
1DE58800|00008DA0|00000816|\snd\adx\mev\s000200_03_2vir.adx
1DE61800|0001500A|00000825|\snd\adx\mev\s000200_04_1kev.adx
1DE77000|0000A12C|0000082F|\snd\adx\mev\s000200_04_2kev.adx
1DE81800|00041CE0|00000840|\snd\adx\mev\s000200_04kev.adx
